id,landmarks
000088da12d664db,8679 0.09
0001623c6d808702,7347 0.19
0001bbb682d45002,14164 0.9
0002362830cfe3a3,8829 0.09
000270c9100de789,2036 0.2
0002b0fab5d3ccc4,784 0.78
000396be3c24830a,8302 0.17
000506dc6ab3a40e,7391 0.12
0005292fc4b005a3,6772 0.1
0005456a82264bc8,5294 0.37
00055cf2bfb5594a,8365 0.05
000664eed4a70821,1646 0.06
0006aea5b6f4eaaa,6280 0.25
0006bbfa00dd6c0f,345 0.63
0008aee1c0abed9d,13689 0.56
0008de5f3c25d563,955 0.02
00094466c9f054f4,9792 0.12
0009f09a69405693,10083 0.03
000a7f4a25af7558,3997 0.09
000a9180e4dc8705,1878 0.87
000aee511bc53f8b,7228 0.09
000b55ddc1160a12,878 0.41
000c08916d77b8ba,9042 0.11
000c2a80838aabff,9348 0.46
000dad8a776a3631,7378 0.13
000e30f1e5b32741,2341 0.78
000e47a43eb8a307,10219 0.27
00108ec72b2344bd,11020 0.21
0010ab920bac8640,1035 0.12
0010e7cad366d6fa,12569 0.22
001119140e4bb030,9358 0.12
00129c981f8e343f,1069 0.35
0013a06d20c7839f,11668 0.15
001490806c884d96,10911 0.17
0014be4f4910bbe6,4644 0.08
0014ea5d819557be,13747 0.13
0015898890608086,3520 0.02
001645116c77f6be,11845 0.1
001693c1ea808396,12279 0.32
00169f449b4c60c0,6051 0.48
0016de8fd1c3eab6,12090 0.19
0017719d5bba733c,10099 0.02
0017d8ef2a3acd3c,1069 0.35
0017deb491895bba,10282 0.56
001800346d31f711,8395 0.1
00181e5553bf2564,12613 0.25
0018761e6c424bd4,1069 0.35
0018893bd38632df,9333 0.49
0018b97bd2b24bd7,3096 0.41
0018d55375fc9760,3 0.2
0019a87e323272b8,1069 0.35
001a35e59d5aa6f1,13209 0.19
001a459a0ea96691,11784 0.26
001a60eb361ddcce,11456 0.5
001a664af4c86522,12803 0.46
001abaa4d7b1bff6,1601 0.06
001ac16f4d40d767,4987 0.46
001ae53b299b629c,4034 0.38
001b6152e9ebcc55,4296 0.08
001b715bcc3404d0,207 0.05
001c14abb87dadee,14164 0.33
001c3fd61038afbb,10067 0.71
001dda380fe0ba7c,247 0.79
001deb1af658dff1,4352 0.17
001e897d5843a2f6,8246 0.11
001e8a1a315b152c,4168 0.03
002032b69caabd68,12479 0.05
0020d05219278e14,8459 0.34
0021438d0b42fae6,9135 0.31
002178816e50c78b,8274 0.67
00229fb626a4c226,5475 0.33
00241bc3b567af00,1472 0.45
0024356662a2dc86,8885 0.08
00244a394f6e0d11,10900 0.14
0024f9a7be9e52e4,1918 0.3
0025f252395efe10,9907 0.23
00273e8ac68611c6,10957 0.31
002794eaf4731a7f,13792 0.03
002814a3f1e37070,7678 0.33
0028cafcc6b04b96,1553 0.13
00295956a11fb30e,12359 0.37
00299adcc8dce34d,10184 0.63
0029aceb8271ccc9,9446 0.15
002a60235e98af73,5567 0.14
002a70ff69fb0500,13630 0.09
002b404d3b0cf9a6,3477 0.06
002bfe1dc420c69c,12075 0.46
002c7341cbf5b436,14927 0.02
002da20ca02f0ac0,10853 0.03
002e393179937ebe,14327 0.33
002e422a29e1ce5e,345 0.36
002f0b431de8711a,1223 0.04
002f22ef6de3a55f,12647 0.16
002f3760195af117,7381 0.17
002faea0e8c51479,4949 0.42
0030a4534a5abac6,1005 0.2
0031ad92799f20ee,4168 0.02
0033acb64422fba9,218 0.21
0033eba3397c6185,5367 0.5
00344624300552b9,2445 0.14
003448f1cb05ee15,532 0.15
00348bdb873acd20,10710 0.41
0034fcc8b622df6d,2870 0.23
0035c123796d2dc2,8582 0.08
00362ef0d3389ca2,11038 0.22
003936911178c6f1,1069 0.35
00395880ab6a8785,6956 0.23
003a84c1f0358ea0,13815 0.4
003aa025286a1b96,9977 0.02
003abb2a6c9e8337,10646 0.28
003adb8929fce218,6972 0.02
003b678f3036f88f,8473 0.24
003bbf69073a067b,11249 0.24
003c37ed733ebd52,8026 0.11
003e3352412c6923,862 0.59
003e9d4de2771416,11126 0.53
0040daa684fe92a6,11864 0.09
0043022cc2d89652,11300 0.22
004306a44a2c92e5,623 0.1
00433c47e6594840,3086 0.44
004347098fbd4691,1160 0.09
0043680413e803f5,3065 0.43
0043c17ee0228378,13273 0.95
0043e20bf69a7f94,532 0.05
0043ed96affa4216,10518 0.03
00448b1998cc59e1,12367 0.85
0044b7fa53f00c88,3977 0.15
0044eadd62a3a123,10235 0.08
00454fac60511ab7,474 0.33
0046825c85e10133,10338 0.3
00469eccdb96cf99,6787 0.13
00483eab99b26137,9944 0.12
0048adbdcf183db1,10139 0.73
0049d86ed382d84b,10330 0.14
004b93aaba46a821,9779 0.54
004bb5efdfd0261b,8086 0.12
004c58a94be7adc9,2664 0.12
004d8e5762546dfa,11011 0.25
004f110c2ef87ce5,2376 0.02
004f2a63bd7f04ce,7629 0.38
004f94447cd332cb,9779 0.4
0051888263e5ab01,10761 0.25
0051d063ddc87f77,2490 0.39
0051dea7e3020136,13170 0.29
0052f0c1cbd21982,1601 0.07
00538c18c528666c,11169 0.36
00539fdf41f85f25,1494 0.3
0053d3cf150fc93f,13444 0.98
0053d94f6014a39b,6834 0.32
00546ff1c3ec4e55,8206 0.2
00549503aa63a09c,11836 0.02
0054d1a2be00f777,8342 0.19
0056038290a760ca,229 0.01
0056c348f7a5a2aa,3034 0.23
0057a90bb02a686c,13378 0.16
0057aca77c241d15,5284 0.28
0058198268c6b91a,9426 0.07
005a1206a50ad018,11524 0.03
005a2fbc133829da,33 0.27
005a94e5db69a1c0,7130 0.31
005ca9316b8f46b8,10855 0.09
005d21f7468129e6,8809 0.12
005d40349b5c1c86,12196 0.12
005d738a83531eb6,4987 0.94
005de66f6d8e8da4,495 0.02
005e5be020ed1f7f,14111 0.54
0060d69377e1e504,290 0.4
0060eab67d55e562,11849 0.06
0061115d26c0f52d,4946 0.26
0061f9cc9a118e99,7347 0.17
00621de5450f8482,6051 0.26
00637c55470214d9,7442 0.03
00642216de0e355c,9714 0.6
006477556948e45e,1393 0.59
00655868c2e8cb7c,6051 0.32
006636e68f306892,14721 0.42
0067beb332ae852f,5852 0.15
0067e468699f6414,13106 0.83
00687481f076241c,7331 0.25
0068a1234f22a300,11258 0.06
0068bd9bb106fa2e,3432 0.13
0069d0a4ef9e5de4,10184 0.4
006a979a8f578a03,5606 0.39
006a996d2431694b,6805 0.38
006b0754f6fcb570,12352 0.16
006b9053c41c3f6b,14835 0.06
006bc6e316fd4166,8649 0.04
006be62ac88c1443,6577 0.16
006cc5689c658064,10432 0.24
006d3f2ef51c05fc,9553 0.02
006d42d9a149a70f,7378 0.23
006d65858fd4153b,4651 0.25
006d6aeede9e8447,5421 0.49
006db0686eed809d,14138 0.15
006e46f4662b7120,13858 0.28
006f16cb66cf19c7,4744 0.02
006f96dae0a72fda,8056 0.16
006fde4dfab795ec,1069 0.35
007071860a707778,10011 0.36
0070c73752241975,5512 0.22
0071448d48158c91,11714 0.06
007172261601423d,8208 0.07
0071a97afef72ce0,6793 0.36
0072cd05820db74b,5799 0.2
0072fb58eb801dd0,1673 0.13
00747c0f756d08d2,7994 0.02
00747de2f5050dba,8763 0.33
0075fcb4800cc216,7008 0.4
0076053bbd002277,6696 0.55
00770c736a766a7e,8205 0.17
0077724b9d888854,11864 0.51
0077fefe0f2cb436,11864 0.24
00781247e691d910,3550 0.02
0078a79f99d0ebbf,11709 0.12
0079542b9eb570d6,10583 0.16
007a0fc3047aa2ac,2949 0.38
007a29d63d0a93e5,9779 0.44
007a8e2a9e7845dd,11864 0.15
007bf513511c5b7e,2725 0.32
007d909014189181,12360 0.02
007dec1ce214963a,11398 0.03
007e0b0d9da66d65,12987 0.21
007f553be79e5273,11778 0.05
00806825f3984685,8679 0.04
0081d3fb0d729efe,1069 0.35
0081ec564be56fde,12609 0.28
00822bf28652bd09,5046 0.16
00833ae733a1a637,13622 0.27
0083e2be5389d7f5,9023 0.03
0084112df3090a30,8637 0.01
0084e1cc0da410dd,7667 0.14
0086b2ab623e3829,14726 0.16
0086b76133775722,1007 0.02
0087116b65d8e060,6051 1.0
00893ae332629b72,11864 0.13
008b2bd78d97c4f8,6621 0.29
008b50c9a1e15587,10282 0.55
008cc31b1ef9ac57,13362 0.18
008ccb1018056b5a,1308 0.1
008cf75c83fa5067,3961 0.54
008d633bc41bd3a5,496 0.13
008d6a039582e6af,9642 0.22
008d8027bc26e936,4404 0.71
008d8ace3de6715d,8679 0.19
008e8559fd561ce0,3130 0.35
008f258e3824c060,11909 0.17
00909bed17475d7c,12447 0.04
00910ad3422c50d1,4035 0.02
0091c88582227363,10587 0.27
0092445f562dd8e6,13795 0.26
0092cb02c447d9b2,3874 0.09
0092e126da3c9711,2743 0.37
0093ec32fae5007d,3844 0.15
00942a43cdc2f6f1,11535 0.01
00942c2692e55e0a,10166 0.56
0094eb98e3bb09e1,14164 0.09
00951b9627a30ea7,8643 0.49
00957aac7be34992,14472 0.14
0095ad72be057bf0,6991 0.86
0095cd1a04137b3e,9486 0.59
009632396f1bd734,12609 0.62
00967b1de78ff2fb,5405 0.35
0096bcdc94c6c07b,8645 0.26
0096ead4c7129631,9741 0.52
0097601cdf3170aa,13444 0.61
0097dbade9158008,1238 0.44
009944711efbc805,7288 0.07
009b40b0e0e7bdce,7648 0.59
009c80ca3d9086a1,8208 0.13
009e92c2c11471c6,8864 0.08
009fcd8d02147f48,11631 0.01
009fe7974ffebe9e,9756 0.7
00a09a1f721ee24d,2241 0.14
00a11f149f69dc8f,5561 0.07
00a1518b8700531a,11095 0.54
00a15617b3f6ea4f,7661 0.17
00a213958749cb4e,9883 0.15
00a2c62737f53014,4898 0.47
00a38be8f658e7fb,7172 0.33
00a59ce6458400ee,218 0.58
00a676753f8f7aed,2061 0.61
00a7169755fa4140,12430 0.04
00a846e7dc2ceaae,6599 0.12
00a8f81f9263b04b,4987 0.12
00a902847134b54d,11095 0.17
00a9c203689422bd,13904 0.07
00acb4de5715eb68,11575 0.06
00ad0d4547feeb90,3392 0.24
00ad5ecd984291f6,5324 0.39
